"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**,REF**";"MountingHole_3.2mm_M3";3;"MountingHole_3.2mm_M3";;;
2;"C1,C7";"C_Disc_D7.5mm_W4.4mm_P5.00mm";2;"100nf";;;
3;"C2,C4";"C_Disc_D7.5mm_W4.4mm_P5.00mm";2;"10n";;;
4;"C6,C3";"C_Disc_D7.5mm_W4.4mm_P5.00mm";2;"2n2";;;
5;"C8,C9,C5";"C_Disc_D7.5mm_W4.4mm_P5.00mm";3;"100n";;;
6;"C10,C11,C12";"CP_Radial_D6.3mm_P2.50mm";3;"10uf";;;
7;"C13";"CP_Radial_D6.3mm_P2.50mm";1;"2u2";;;
8;"D1";"D_DO-35_SOD27_P7.62mm_Horizontal";1;"1N4148";;;
9;"D2,D3";"LED_D5.0mm";2;"LED";;;
10;"FB1,FB2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"Ferrite_Bead";;;
11;"J1";"Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical";1;"SYNC IN";;;
12;"J2";"Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical";1;"FREQUENCY INPUT PIN";;;
13;"J3";"Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical";1;"level input pin";;;
14;"J4";"Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical";1;"LFO OUT";;;
15;"J5";"Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical";1;"LFOINVOUT";;;
16;"J6";"Multicomp_MC9A12-1034_2x05_P2.54mm_Vertical";1;"POWER INPUT";;;
17;"Q1";"TO-92_Inline_Wide";1;"BC547";;;
18;"Q2,Q3";"TO-92_Inline_Wide";2;"2N3904";;;
19;"R1,R5,R12";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";3;"10k";;;
20;"R2,R9,R13,R19,R20,R25,R27,R28";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";8;"1k";;;
21;"R3,R16";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"200k";;;
22;"R4,R6,R17,R18,R22,R23,R24,R26";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";8;"100k";;;
23;"R7,R21";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"4k7";;;
24;"R8,R10";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"12k";;;
25;"R11";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"47k";;;
26;"R14";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"20k";;;
27;"R15";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"24k";;;
28;"RV1";"Potentiometer_Alps_RK09K_Single_Vertical";1;"waveform 10k";;;
29;"RV2";"Potentiometer_Alps_RK09K_Single_Vertical";1;"FREQ ATT 100k";;;
30;"RV3";"Potentiometer_Alps_RK09K_Single_Vertical";1;"FREQ 100k";;;
31;"RV4";"Potentiometer_Alps_RK09K_Single_Vertical";1;"multiplication 10k";;;
32;"RV5";"Potentiometer_Alps_RK09K_Single_Vertical";1;"shape 10k";;;
33;"RV6";"Potentiometer_Alps_RK09K_Single_Vertical";1;"level att 100k";;;
34;"RV7";"Potentiometer_Alps_RK09K_Single_Vertical";1;"LEVEL 100k";;;
35;"RV8";"Potentiometer_Bourns_3296W_Vertical";1;"100k";;;
36;"RV9";"Potentiometer_Alps_RK09K_Single_Vertical";1;"S/HRATE 10k";;;
37;"SW1";"SPDT SWITCH";1;"wave bank";;;
38;"SW2";"SPDT SWITCH";1;"synconoff";;;
39;"U1";"DIP-14_W7.62mm_LongPads";1;"TL074";;;
40;"U2";"DIP-8_W7.62mm_LongPads";1;"TL072";;;
41;"U3";"DIP-14_W7.62mm_LongPads";1;"VCLFO10 ELECTRIC DRUID";;;
42;"U4";"TO-220F-3_Horizontal_TabDown";1;"L7805";;;
43;"U5";"TO-220F-3_Horizontal_TabDown";1;"L7905";;;
